School,City,Region,Applied,Admitted,Enrolled
CLOVERDALE HIGH SCHOOL,Cloverdale,Sonoma,7,5,
CLOVIS EAST HIGH SCHOOL,Clovis,Fresno,65,45,25
CLOVIS HIGH SCHOOL,Clovis,Fresno,47,38,19
CLOVIS NORTH HIGH SCHOOL,Fresno,Fresno,127,76,32
CLOVIS ONLINE SCHOOL,Clovis,Fresno,,,
CLOVIS WEST HIGH SCHOOL,Fresno,Fresno,78,36,20
COACHELLA VALLEY HIGH SCHOOL,Thermal,Riverside,95,50,23
COALINGA HIGH SCHOOL,Coalinga,Fresno,16,11,7
COAST HIGH SCHOOL,Huntington Beach,Orange,,,
COAST UNION HIGH SCHOOL,Cambria,San Luis Obispo,7,6,
COASTAL ACADEMY HS OCEANSIDE,Oceanside,San Diego,,,
COBALT INSTITUTE MATH/SCIENCE,Victorville,San Bernardino,39,16,8
COLD STREAM ALTERNATIVE SCHOOL,Truckee,Placer,,,
COLEVILLE HIGH SCHOOL,Coleville,Mono,,,
COLFAX HIGH SCHOOL,Colfax,Placer,28,14,6
COLISEUM COLLEGE PREP ACADEMY,Oakland,Alameda,37,27,15
COLLEGE BRIDGE ACADEMY,Los Angeles,Los Angeles,,,
COLLEGE PARK HIGH SCHOOL,Pleasant Hill,Contra Costa,115,68,32
COLLEGIATE CHARTER HIGH SCHOOL,Los Angeles,Los Angeles,20,13,5
COLONY HIGH SCHOOL,Ontario,San Bernardino,100,54,31
COLTON HIGH SCHOOL,Colton,San Bernardino,60,27,17
COLUSA HIGH SCHOOL,Colusa,Colusa,7,4,
COMMUNITY COLLAB - CALPAC,Newport Beach,Orange,,,
COMMUNITY COLLAB SAGE OAK,Redlands,San Bernardino,,,
COMPASS CHARTER SCHL SAN DIEGO,Thousand Oaks,Ventura,,,
COMPASS CHARTER SCHLS OF LA,Thousand Oaks,Ventura,,,
COMPTON EARLY COLLEGE HIGH SCH,Compton,Los Angeles,47,23,14
COMPTON SENIOR HIGH SCHOOL,Compton,Los Angeles,79,36,19
CONCORD HIGH SCHOOL,Concord,Contra Costa,71,42,23
CONDOR HIGH SCHOOL,Oxnard,Ventura,,,
CONNECTING WATERS - EAST BAY,Waterford,Stanislaus,,,
CONNECTING WATERS CHARTER SCH,Waterford,Stanislaus,9,5,
CONSERVATORY VOCAL/INSTRM ARTS,Oakland,Alameda,,,
CONTRA COSTA SCH PRFRMING ARTS,Walnut Creek,Contra Costa,,,
CORCORAN HIGH SCHOOL,Corcoran,Kings,32,18,
CORDOVA HIGH SCHOOL,Rancho Cordova,Sacramento,34,25,11
CORE BUTTE CHARTER SCHOOL,Chico,Butte,,,
CORE CHARTER SCHOOL,Marysville,Yuba,,,
CORE PLACER CHARTER SCHOOL,Colfax,Placer,,,
CORNING UNION HIGH SCHOOL,Corning,Tehama,13,7,3
CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,203,113,53
CORONA HIGH SCHOOL,Corona,Riverside,127,60,36
CORONADO ADULT HIGH SCHOOL,Coronado,San Diego,,,
CORONADO HIGH SCHOOL,Coronado,San Diego,109,63,27
COSTA MESA HIGH SCHOOL,Costa Mesa,Orange,50,29,14
COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,129,90,52
COVINA HIGH SCHOOL,Covina,Los Angeles,63,31,19
CRAWFORD HIGH SCHOOL,San Diego,San Diego,48,30,12
CREATIVE CONNECTIONS ARTS ACAD,North Highlands,Sacramento,,,
CREDO HIGH SCHOOL,Rohnert Park,Sonoma,9,5,5
CRENSHAW HIGH SCHOOL,Los Angeles,Los Angeles,34,15,10
CRESCENT VALLEY PUBLIC CHAR II,Visalia,Tulare,,,
CRESCENT VIEW WEST CHARTER SCH,Fresno,Fresno,,,
CRESCENTA VALLEY HIGH SCHOOL,La Crescenta,Los Angeles,263,173,89
CRITICAL DESIGN AND GAMING SCH,Los Angeles,Los Angeles,43,8,3
CULVER CITY HIGH SCHOOL,Culver City,Los Angeles,176,105,55
CUPERTINO HIGH SCHOOL,Cupertino,Santa Clara,397,300,149
CYPRESS HIGH SCHOOL,Cypress,Orange,235,140,86
CYPRESS HIGH SCHOOL,Santa Cruz,Santa Cruz,,,
DA VINCI CHARTER ACADEMY,Davis,Yolo,24,16,9
DA VINCI COMMUNICATIONS HS,El Segundo,Los Angeles,26,7,
DA VINCI DESIGN HIGH SCHOOL,El Segundo,Los Angeles,21,10,4
DA VINCI SCIENCE HIGH SCHOOL,El Segundo,Los Angeles,34,25,14
DANA HILLS HIGH SCHOOL,Dana Point,Orange,175,103,50
DANIEL PEARL MAGNET HIGH SCHL,Van Nuys,Los Angeles,31,16,9
DAV STARR JORDAN HIGH SCHOOL,Long Beach,Los Angeles,104,49,19
DAVID STARR JORDAN HS,Los Angeles,Los Angeles,22,7,3
DAVIS SCHOOL INDEPENDENT STUDY,Davis,Yolo,,,
DAVIS SENIOR HIGH SCHOOL,Davis,Yolo,294,206,111
DE ANZA HIGH SCHOOL,Richmond,Contra Costa,83,59,35
DEER VALLEY HIGH SCHOOL,Antioch,Contra Costa,58,41,27
DEL CAMPO HIGH SCHOOL,Fair Oaks,Sacramento,33,19,13
DEL LAGO ACADEMY,Escondido,San Diego,78,38,29
DEL MAR HIGH SCHOOL,San Jose,Santa Clara,50,25,15
DEL NORTE COUNTY HIGH SCHOOL,Crescent City,Del Norte,11,3,
DEL NORTE HIGH SCHOOL,San Diego,San Diego,253,184,85
DEL ORO HIGH SCHOOL,Loomis,Placer,62,45,20
DELANO HIGH SCHOOL,Delano,Kern,39,28,9
DELHI HIGH SCHOOL,Delhi,Merced,45,30,11
DELTA CHARTER HIGH SCHOOL,Tracy,San Joaquin,,,
DELTA CHARTER ONLINE,Tracy,San Joaquin,,,
DELTA HIGH SCHOOL,Clarksburg,Yolo,6,3,
DENAIR HIGH SCHOOL,Denair,Stanislaus,6,4,3
DESERT HIGH SCHOOL,Edwards,Kern,14,11,8
DESERT HOT SPRINGS HS,Desert Hot Springs,Riverside,63,34,16
DESERT MIRAGE HIGH SCHOOL,Thermal,Riverside,82,48,17
DESIGN SCIENCE MIDDLE COLG HS,Fresno,Fresno,54,48,28
DESIGN TECH HIGH SCHOOL,Redwood City,San Mateo,64,43,22
DEWEY HIGH SCHOOL,Oakland,Alameda,,,
DIAMOND BAR HIGH SCHOOL,Diamond Bar,Los Angeles,471,354,214
DIAMOND RANCH HIGH SCHOOL,Pomona,Los Angeles,102,62,24
DIAMOND TECHNOLOGY INSTITUTE,Watsonville,Santa Cruz,,,
DIEGO HILLS CENTRAL PUBLIC CHARTER,San Diego,San Diego,,,
DIEGO RIVERA COMM/TECH SCHOOL,Los Angeles,Los Angeles,24,12,
DINUBA HIGH SCHOOL,Dinuba,Tulare,51,34,11
DISCOVERY CHARTER PREP SCHOOL,Sylmar,Los Angeles,34,15,3
DIXON HIGH SCHOOL,Dixon,Solano,50,30,17
DOMINGUEZ SENIOR HIGH SCHOOL,Compton,Los Angeles,100,44,16
DON ANTONIO LUGO HIGH SCHOOL,Chino,San Bernardino,66,38,18
DOS PALOS HIGH SCHOOL,Dos Palos,Merced,15,11,4
DOS PUEBLOS HIGH SCHOOL,Goleta,Santa Barbara,189,137,68
DOUGHERTY VALLEY HIGH SCHOOL,San Ramon,Contra Costa,538,386,203
DOWNEY HIGH SCHOOL,Downey,Los Angeles,194,98,52
DOWNTOWN COLG PREP EL PRIMERO,San Jose,Santa Clara,38,21,10
DOWNTOWN COLLEGE PREP ALUM ROC,San Jose,Santa Clara,19,11,6
DOWNTOWN MAGNETS HIGH SCHOOL,Los Angeles,Los Angeles,90,67,34
DOZIER-LIBBEY MEDICAL HIGH SCH,Antioch,Contra Costa,28,11,6
DR MAYA ANGELOU COMMUNITY HS,Los Angeles,Los Angeles,46,26,12
DR RICHARD VLADOVIC HARBOR ACA,Wilmington,Los Angeles,106,59,33
DR TJ OWENS GILROY EARLY COLG,Gilroy,Santa Clara,45,26,15
DUARTE HIGH SCHOOL,Duarte,Los Angeles,31,19,11
DUBLIN HIGH SCHOOL,Dublin,Alameda,304,218,116
DUNCAN POLYTECHNICAL HS,Fresno,Fresno,24,11,4
DURHAM HIGH SCHOOL,Durham,Butte,7,4,
E3 CIVIC HIGH,San Diego,San Diego,28,16,10
EAGLE ROCK HIGH SCHOOL,Los Angeles,Los Angeles,135,88,39
EARLY COLLEGE HIGH SCHOOL,Costa Mesa,Orange,30,16,11
EAST BAKERSFIELD HIGH SCHOOL,Bakersfield,Kern,60,36,14
EAST BAY ARTS,Hayward,Alameda,6,3,
EAST COLLEGE PREP,Los Angeles,Los Angeles,47,28,19
EAST LA PERFORMING ARTS MAGNET,Los Angeles,Los Angeles,28,9,3
EAST LA RENAISSANCE ACADEMY,Los Angeles,Los Angeles,23,6,4
EAST NICOLAUS HIGH SCHOOL,Trowbridge,Sutter,8,6,
EAST PALO ALTO ACADEMY,East Palo Alto,San Mateo,19,8,6
EAST UNION EVENING HIGH SCHOOL,Manteca,San Joaquin,,,
EAST UNION HIGH SCHOOL,Manteca,San Joaquin,53,31,12
EAST VALLEY HIGH SCHOOL,North Hollywood,Los Angeles,26,12,5
EAST VILLAGE MIDDLE COLLEGE HS,San Diego,San Diego,5,,
EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,212,124,75
EASTSIDE HIGH SCHOOL,Lancaster,Los Angeles,97,55,30
EDGEWOOD HIGH SCHOOL,West Covina,Los Angeles,47,26,15
EDISON HIGH SCHOOL,Fresno,Fresno,122,81,24
EDISON HIGH SCHOOL,Huntington Beach,Orange,122,68,31
EDISON SENIOR HIGH SCHOOL,Stockton,San Joaquin,50,32,16
EDUCATIONAL PARTNERSHIP HS,Long Beach,Los Angeles,,,
EDWARD C MERLO INSTITUTE,Stockton,San Joaquin,,,
EDWARD R ROYBAL LEARNING CNTR,Los Angeles,Los Angeles,53,24,12
EISENHOWER HIGH SCHOOL,Rialto,San Bernardino,80,36,24
EL CAJON VALLEY HIGH SCHOOL,El Cajon,San Diego,84,48,21
EL CAMINO FUNDAMENTAL HS,Sacramento,Sacramento,54,29,17
EL CAMINO HIGH SCHOOL,Oceanside,San Diego,143,91,41
EL CAMINO HIGH SCHOOL,Ventura,Ventura,11,7,5
EL CAMINO HIGH,South San Francisco,San Mateo,89,51,26
EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,212,134,80
EL CAPITAN HIGH SCHOOL,Lakeside,San Diego,42,19,12
EL CAPITAN HIGH SCHOOL,Merced,Merced,114,74,56
EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,112,80,46
EL DIAMANTE HIGH SCHOOL,Visalia,Tulare,40,28,15
EL DORADO HIGH SCHOOL,Placentia,Orange,97,63,34
EL DORADO HIGH SCHOOL,Placerville,El Dorado,31,15,10
EL MODENA HIGH SCHOOL,Orange,Orange,114,66,35
EL MOLINO HIGH SCHOOL,Forestville,Sonoma,27,13,7
EL MONTE HIGH SCHOOL,El Monte,Los Angeles,104,76,42
EL RANCHO HIGH SCHOOL,Pico Rivera,Los Angeles,79,45,25
EL SEGUNDO HIGH SCHOOL,El Segundo,Los Angeles,97,54,26
EL SERENO HIGH SCHOOL,Fair Oaks,Sacramento,,,
EL TORO HIGH SCHOOL,Lake Forest,Orange,86,50,30
ELEANOR ROOSEVELT HIGH SCHOOL,Eastvale,Riverside,288,170,107
ELIZABETH LEARNING CENTER,Cudahy,Los Angeles,34,17,10
ELK CREEK JUNIOR-SENIOR HS,Elk Creek,Glenn,,,
ELK GROVE HIGH SCHOOL,Elk Grove,Sacramento,65,32,17
ELSIE ALLEN HIGH SCHOOL,Santa Rosa,Sonoma,10,5,
ELSINORE HIGH SCHOOL,Wildomar,Riverside,53,40,25
EMERY SECONDARY SCHOOL,Emeryville,Alameda,10,6,3
EMPIRE SPRINGS CHARTER SCHOOL,Temecula,Riverside,,,
ENCINA HIGH SCHOOL,Sacramento,Sacramento,,,
ENCINAL HIGH SCHOOL,Alameda,Alameda,75,57,36
ENCORE HS FOR THE ARTS - RIVER,Riverside,Riverside,16,10,5
ENCORE JR/SR HIGH SCHOOL,Hesperia,San Bernardino,20,9,5
ENGINEERING & TECH ACAD AT THS,Los Angeles,Los Angeles,8,6,
ENTERPRISE HIGH SCHOOL,Redding,Shasta,21,13,6
ENVIRON/SOC POLICY MAGNET HS,Los Angeles,Los Angeles,,,
ENVIRONMENTAL CHARTER HS,Lawndale,Los Angeles,66,47,23
ENVISION ACAD ARTS/TECHNOLOGY,Oakland,Alameda,22,12,8
ERNEST RIGHETTI HIGH SCHOOL,Santa Maria,Santa Barbara,66,37,19
ERNEST S MCBRIDE SR HIGH SCHL,Long Beach,Los Angeles,87,48,19
ESCALON HIGH SCHOOL,Escalon,San Joaquin,14,11,3
ESCONDIDO CHARTER HIGH SCHOOL,Escondido,San Diego,36,23,11
ESCONDIDO HIGH SCHOOL,Escondido,San Diego,114,54,25
ESPARTO HIGH SCHOOL,Esparto,Yolo,,,
ESPERANZA HIGH SCHOOL,Anaheim,Orange,67,42,26
ESTANCIA HIGH SCHOOL,Costa Mesa,Orange,40,21,9
ETIWANDA HIGH SCHOOL,Etiwanda,San Bernardino,185,116,76
ETNA UNION HIGH SCHOOL,Etna,Siskiyou,,,
EUREKA SENIOR HIGH SCHOOL,Eureka,Humboldt,27,16,9
EVEREST PUBLIC HIGH SCHOOL,Redwood City,San Mateo,44,29,15
EVERETT ALVAREZ HIGH SCHOOL,Salinas,Monterey,110,64,34
EVERGREEN VALLEY HIGH SCHOOL,San Jose,Santa Clara,373,250,134
EXCELSIOR CHARTER SCHOOLS,Victorville,San Bernardino,32,15,7
EXETER UNION HIGH SCHOOL,Exeter,Tulare,19,14,9
FAIRFAX HIGH SCHOOL,Los Angeles,Los Angeles,111,67,33
FAIRFIELD HIGH SCHOOL,Fairfield,Solano,26,17,5
FALL RIVER JUNIOR-SENIOR HS,Mcarthur,Shasta,,,
FALLBROOK UNION HIGH SCHOOL,Fallbrook,San Diego,38,28,14
FARMERSVILLE HIGH SCHOOL,Farmersville,Tulare,27,16,
FEATHER RIVER CHARTER SCHOOL,Merdian,Sutter,,,
FELICITAS GONZALO MENDEZ HS,Los Angeles,Los Angeles,81,50,20
FERNDALE HIGH SCHOOL,Ferndale,Humboldt,,,
FILLMORE HIGH SCHOOL,Fillmore,Ventura,40,33,14
FIREBAUGH HIGH SCHOOL,Firebaugh,Fresno,18,12,5
FLORIN HIGH SCHOOL,Sacramento,Sacramento,73,37,22
FLOYD B BUCHANAN HIGH SCHOOL,Clovis,Fresno,108,75,35
FOLSOM HIGH SCHOOL,Folsom,Sacramento,127,73,42
FONTANA HIGH SCHOOL,Fontana,San Bernardino,162,68,32
FOOTHILL HIGH SCHOOL,Bakersfield,Kern,46,32,16
FOOTHILL HIGH SCHOOL,Sacramento,Sacramento,25,15,9
FOOTHILL HIGH SCHOOL,Pleasanton,Alameda,248,175,93
FOOTHILL HIGH SCHOOL,Palo Cedro,Shasta,19,11,6
FOOTHILL HIGH SCHOOL,Santa Ana,Orange,164,90,49
FOOTHILL TECHNOLOGY HS,Ventura,Ventura,65,43,19
FOREST CHARTER SCHOOL,Nevada City,Nevada,11,5,3
FORESTHILL HIGH SCHOOL,Foresthill,Placer,,,
FORT BRAGG HIGH SCHOOL,Fort Bragg,Mendocino,18,15,7
FORTUNA UNION HIGH SCHOOL,Fortuna,Humboldt,28,18,7
FOSHAY LEARNING CENTER,Los Angeles,Los Angeles,77,43,10
FOUNTAIN VALLEY HIGH SCHOOL,Fountain Valley,Orange,291,198,128
FOWLER HIGH SCHOOL,Fowler,Fresno,39,25,15
FRANCISCO BRAVO MEDICAL MAGNET,Los Angeles,Los Angeles,169,105,54
FRANKLIN HIGH SCHOOL,Elk Grove,Sacramento,177,110,67
FRANKLIN HIGH SCHOOL,Stockton,San Joaquin,72,49,24
FRAZIER MOUNTAIN HIGH SCHOOL,Lebec,Kern,,,
FRED C BEYER HIGH SCHOOL,Modesto,Stanislaus,55,45,25
FREEDOM HIGH SCHOOL,Oakley,Contra Costa,71,47,25
FREEDOM HOME SCHOOL,Madera,Madera,,,
FREMONT ACD ENGINEERING/DESIGN,Pomona,Los Angeles,34,23,16
FREMONT HIGH SCHOOL,Oakland,Alameda,33,17,4
FREMONT HIGH SCHOOL,Sunnyvale,Santa Clara,138,107,50
FRESNO HIGH SCHOOL,Fresno,Fresno,58,42,12
FRONTIER HIGH SCHOOL,Bakersfield,Kern,55,32,20
FULLERTON UNION HIGH SCHOOL,Fullerton,Orange,87,51,25
FUTURES HIGH SCHOOL,Sacramento,Sacramento,,,
GABRIELINO HIGH SCHOOL,San Gabriel,Los Angeles,162,110,72
GAHR HIGH SCHOOL,Cerritos,Los Angeles,93,44,22
GALILEO ACAD OF SCIENCE & TECH,San Francisco,San Francisco,193,106,66
GALT HIGH SCHOOL,Galt,Sacramento,26,14,7
GANESHA HIGH SCHOOL,Pomona,Los Angeles,51,26,8
GARDEN GROVE HIGH SCHOOL,Garden Grove,Orange,155,110,65
GARDENA HIGH SCHOOL,Gardena,Los Angeles,51,28,9
GAREY HIGH SCHOOL,Pomona,Los Angeles,86,48,20
GATEWAY HIGH SCHOOL,San Francisco,San Francisco,56,33,20
GEORGE WASHINGTON CARVER SCHOO,Sacramento,Sacramento,7,6,
GEORGE WASHINGTON HIGH SCHOOL,San Francisco,San Francisco,217,124,82
GEORGE WASHINGTON PREPARATORY,Los Angeles,Los Angeles,33,12,6
GEYSERVILLE NEW TECH ACADEMY,Geyserville,Sonoma,,,
GILROY HIGH SCHOOL,Gilroy,Santa Clara,39,21,4
GLACIER HIGH SCHOOL CHARTER,Oakhurst,Madera,,,
GLADSTONE HIGH SCHOOL,Covina,Los Angeles,36,21,4
GLEN A WILSON HIGH SCHOOL,Hacienda Heights,Los Angeles,117,82,51
GLENDALE HIGH SCHOOL,Glendale,Los Angeles,94,51,31
GLENDORA HIGH SCHOOL,Glendora,Los Angeles,120,77,42
GOLD RUSH CHARTER SCHOOL,Sonora,Tuolumne,,,
GOLDEN EAGLE CHARTER SCHOOL,Mount Shasta,Siskiyou,,,
GOLDEN SIERRA HIGH SCHOOL,Garden Valley,El Dorado,8,5,4
GOLDEN VALLEY HIGH SCHOOL,Bakersfield,Kern,60,39,23
GOLDEN VALLEY HIGH SCHOOL,Merced,Merced,72,48,29
GOLDEN VALLEY HIGH SCHOOL,Santa Clarita,Los Angeles,83,47,19
GOLDEN WEST HIGH SCHOOL,Visalia,Tulare,17,7,4
GOMPERS PREPARATORY ACADEMY,San Diego,San Diego,99,44,27
GONZALES HIGH SCHOOL,Gonzales,Monterey,24,16,13
GORMAN LEARNING CENTER,Redlands,San Bernardino,,,
GRACE M DAVIS HIGH SCHOOL,Modesto,Stanislaus,32,26,14
GRANADA HIGH SCHOOL,Livermore,Alameda,148,86,45
GRANADA HILLS CHARTER HIGH SCH,Granada Hills,Los Angeles,423,288,139
GRAND TERRACE HIGH SCHOOL,Grand Terrace,San Bernardino,112,60,40
GRANITE BAY HIGH SCHOOL,Granite Bay,Placer,185,131,56
GRANITE HILLS HIGH SCHOOL,Apple Valley,San Bernardino,42,25,11
GRANITE HILLS HIGH SCHOOL,El Cajon,San Diego,51,31,12
GRANITE HILLS HIGH SCHOOL,Porterville,Tulare,21,13,3
GRANT HIGH SCHOOL,Sacramento,Sacramento,59,43,13
GREAT OAK HIGH SCHOOL,Temecula,Riverside,221,139,83
GREEN DESIGN STEAM ACADEMY,Los Angeles,Los Angeles,24,10,
GREENFIELD HIGH SCHOOL,Greenfield,Monterey,40,16,7
GREENVILLE HIGH SCHOOL,Greenville,Plumas,,,
GRETCHEN WHITNEY HIGH SCHOOL,Cerritos,Los Angeles,130,102,61
GRIDLEY HIGH SCHOOL,Gridley,Butte,14,10,4
GROSSMONT HIGH SCHOOL,El Cajon,San Diego,90,56,28
GROSSMONT MIDDLE COLLEGE HS,El Cajon,San Diego,12,7,5
GROVE HIGH SCHOOL,Redlands,San Bernardino,13,9,3
GUAJOME PARK ACADEMY,Vista,San Diego,26,11,8
GUSTINE HIGH SCHOOL,Gustine,Merced,10,6,4
HALF MOON BAY HIGH SCHOOL,Half Moon Bay,San Mateo,53,37,15
HALLMARK CHARTER SCHOOL,Sanger,Fresno,6,,
HAMILTON HIGH SCHOOL,Anza,Riverside,7,5,3
HAMILTON HUMANITIES MAGNET,Los Angeles,Los Angeles,,,
HAMILTON UNION HIGH SCHOOL,Hamilton City,Glenn,8,5,3
HANFORD HIGH SCHOOL,Hanford,Kings,24,20,6
HANFORD WEST HIGH SCHOOL,Hanford,Kings,15,12,8
HAPPY CAMP HIGH SCHOOL,Happy Camp,Siskiyou,,,
HARBOR HIGH SCHOOL,Santa Cruz,Santa Cruz,44,27,16
HARMONY MAGNET ACADEMY,Porterville,Tulare,28,18,12
HART RANSOM ACADEMIC CHARTER,Modesto,Stanislaus,,,
HAWTHORNE HIGH SCHOOL,Hawthorne,Los Angeles,90,48,23
HAWTHORNE MATH & SCIENCE ACAD,Hawthorne,Los Angeles,62,42,23
HAYFORK HIGH SCHOOL,Hayfork,Trinity,,,
HAYWARD HIGH SCHOOL,Hayward,Alameda,81,50,29
HAYWARD TWIN OAKS MONTESSORI,Hayward,Alameda,22,10,8
HEALDSBURG HIGH SCHOOL,Healdsburg,Sonoma,35,21,9
HEALTH CAREERS ACADEMY HS,Stockton,San Joaquin,31,21,12
HEALTH PROFESSIONS HIGH SCH,Sacramento,Sacramento,5,3,
HEALTH SCIENCES HIGH/MID COLL,San Diego,San Diego,42,22,14
HEARTHSTONE SCHOOL,Oroville,Butte,,,
HECTOR GODINEZ FUNDAMENTAL HS,Santa Ana,Orange,203,142,68
HELEN BERNSTEIN HIGH SCHOOL,Hollywood,Los Angeles,19,13,
HELIX HIGH SCHOOL,La Mesa,San Diego,173,106,48
HEMET HIGH SCHOOL,Hemet,Riverside,79,52,35
HENRY J KAISER HIGH SCHOOL,Fontana,San Bernardino,122,79,48
HENRY M GUNN SENIOR HIGH SCHL,Palo Alto,Santa Clara,330,218,83
HENRY T GUNDERSON HIGH SCHOOL,San Jose,Santa Clara,47,32,12
HERBERT HOOVER HIGH SCHOOL,Fresno,Fresno,44,23,4
HERBERT HOOVER HIGH SCHOOL,Glendale,Los Angeles,59,33,19
HERBERT HOOVER HIGH SCHOOL,San Diego,San Diego,165,94,55
HERCULES HIGH SCHOOL,Hercules,Contra Costa,54,30,19
HERITAGE HIGH SCHOOL,Brentwood,Contra Costa,106,61,32
HERITAGE HIGH SCHOOL,Menifee,Riverside,105,65,42
HERITAGE PEAK CHARTER SCHOOL,Rio Linda,Sacramento,,,
