Name,Institution,City,County,Enrollment,Founded
"University of California, Berkeley",UC,Berkeley,Alameda,"42,519",1869
"University of California, Davis",UC,Davis,Yolo,"39,152",1905
"University of California, Irvine",UC,Irvine,Orange,"35,220",1965
"University of California, Los Angeles",UC,Los Angeles,Los Angeles,"45,428",1882
"University of California, Merced",UC,Merced,Merced,"8,544",2005
"University of California, Riverside",UC,Riverside,Riverside,"23,278",1954
"University of California, San Diego",UC,San Diego,San Diego,"38,798",1960
"University of California, Santa Barbara",UC,Santa Barbara,Santa Barbara,"24,346",1891
"University of California, Santa Cruz",UC,Santa Cruz,Santa Cruz,"19,700",1965
California State University Maritime Academy,CSU,Vallejo,Solano,"1,017",1929
California Polytechnic State University,CSU,San Luis Obispo,San Luis Obispo,"21,812",1901
"California State Polytechnic University, Pomona",CSU,Pomona,Los Angeles,"26,443",1938
"California State University, Bakersfield",CSU,Bakersfield,Kern,"10,493",1965
California State University Channel Islands,CSU,Camarillo,Ventura,"7,095",2002
"California State University, Chico",CSU,Chico,Butte,"17,488",1887
"California State University, Dominguez Hills",CSU,Carson,Los Angeles,"15,741",1960
"California State University, East Bay",CSU,Hayward,Alameda,"14,525",1959
"California State University, Fresno",CSU,Fresno,Fresno,"24,995",1911
"California State University, Fullerton",CSU,Fullerton,Orange,"39,774",1957
"California State University, Long Beach",CSU,Long Beach,Los Angeles,"36,846",1949
"California State University, Los Angeles",CSU,Los Angeles,Los Angeles,"27,685",1947
"California State University, Monterey Bay",CSU,Seaside-Marina,Monterey,"7,079",1994
"California State University, Northridge",CSU,Northridge,Los Angeles,"38,716",1958
"California State University, Sacramento",CSU,Sacramento,Sacramento,"31,131",1947
"California State University, San Bernardino",CSU,San Bernardino,San Bernardino,"19,973",1965
California State University San Marcos,CSU,San Marcos,San Diego,"14,511",1988
"California State University, Stanislaus",CSU,Turlock,Stanislaus,"10,214",1957
Humboldt State University,CSU,Arcata,Humboldt,"7,774",1913
San Diego State University,CSU,San Diego,San Diego,"34,881",1897
San Francisco State University,CSU,San Francisco,San Francisco,"29,586",1899
San Jose State University,CSU,San Jose,Santa Clara,"32,828",1857
Sonoma State University,CSU,Rohnert Park,Sonoma,"9,201",1960