Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
276,Jock Landale,C,28,HOU,36,0,8.9,0.9,2.3,.378,0.1,0.5,.105,0.8,1.8,.460,.390,0.5,0.7,.792,1.3,1.1,2.4,0.6,0.3,0.4,0.3,1.0,2.3,landajo01
277,Jake LaRavia,PF,22,MEM,18,0,15.9,2.2,6.0,.370,0.7,2.8,.235,1.6,3.2,.491,.426,1.4,1.9,.765,1.2,1.9,3.2,0.9,0.4,0.3,0.8,1.8,6.6,laravja01
278,Zach LaVine,SG,28,CHI,25,23,34.9,6.8,15.0,.452,2.4,6.8,.349,4.4,8.3,.536,.531,3.5,4.1,.854,0.3,4.8,5.2,3.9,0.8,0.3,2.1,2.3,19.5,lavinza01
279,A.J. Lawson,SG,23,DAL,29,0,8.0,1.4,3.0,.477,0.4,1.4,.325,1.0,1.6,.609,.552,0.4,0.7,.632,0.4,0.7,1.1,0.4,0.3,0.1,0.3,0.7,3.7,lawsoaj01
280,Saben Lee,PG,24,PHO,19,0,8.3,0.9,2.4,.400,0.1,0.7,.154,0.8,1.7,.500,.422,1.5,1.9,.757,0.4,1.1,1.5,1.3,0.4,0.2,0.4,0.5,3.5,leesa01
281,Alex Len,C,30,SAC,27,0,8.8,1.1,2.0,.574,0.0,0.1,.000,1.1,1.9,.608,.574,0.3,0.6,.412,1.2,1.8,3.0,0.9,0.3,0.6,0.6,1.2,2.6,lenal01
282,Kawhi Leonard,SF,32,LAC,56,56,34.5,9.1,17.3,.523,2.2,5.1,.427,6.9,12.2,.563,.586,3.8,4.3,.891,1.2,5.0,6.2,3.8,1.8,0.8,1.7,1.5,24.1,leonaka01
283,Caris LeVert,SG,29,CLE,50,1,27.9,5.1,12.3,.415,1.7,5.0,.329,3.4,7.3,.474,.482,2.1,2.8,.755,0.5,3.3,3.8,4.7,0.9,0.5,1.5,1.8,14.0,leverca01
284,Kira Lewis Jr.,PG,22,TOT,19,0,8.1,0.9,2.8,.315,0.1,1.1,.095,0.8,1.7,.455,.333,0.5,0.6,.909,0.3,0.5,0.8,1.1,0.3,0.1,0.4,0.5,2.4,lewiski01
284,Kira Lewis Jr.,PG,22,NOP,15,0,9.6,1.1,3.5,.308,0.1,1.3,.100,0.9,2.1,.438,.327,0.7,0.7,.909,0.3,0.7,0.9,1.2,0.3,0.1,0.5,0.5,2.9,lewiski01
284,Kira Lewis Jr.,PG,22,TOR,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,lewiski01
284,Kira Lewis Jr.,PG,22,UTA,3,0,2.3,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.0,0.0,,0.3,0.0,0.3,1.0,0.3,0.0,0.0,0.0,0.7,lewiski01
285,Maxwell Lewis,SF,21,LAL,22,0,3.4,0.1,0.5,.250,0.0,0.1,.333,0.1,0.4,.222,.292,0.0,0.0,,0.0,0.1,0.1,0.1,0.1,0.0,0.3,0.2,0.3,lewisma05
286,E.J. Liddell,PF,23,NOP,8,0,2.9,0.1,0.8,.167,0.0,0.6,.000,0.1,0.1,1.000,.167,0.3,0.3,1.000,0.0,0.6,0.6,0.1,0.3,0.3,0.3,0.3,0.5,liddeej01
287,Damian Lillard,PG,33,MIL,58,58,34.9,7.4,17.4,.423,3.0,8.5,.350,4.4,8.9,.493,.509,6.7,7.3,.927,0.5,3.8,4.3,6.7,1.1,0.2,2.6,1.8,24.4,lillada01
288,Nassir Little,SF,23,PHO,34,2,12.5,1.4,3.1,.458,0.6,1.8,.317,0.9,1.4,.638,.547,0.5,0.6,.850,0.4,1.7,2.1,0.6,0.3,0.3,0.4,1.1,3.9,littlna01
289,Dereck Lively II,C,19,DAL,44,42,24.7,4.0,5.3,.744,0.0,0.0,.000,4.0,5.3,.750,.744,0.8,1.6,.529,2.7,4.5,7.1,1.2,0.7,1.5,1.0,2.8,8.8,livelde01
290,Isaiah Livers,PF,25,DET,23,6,20.4,1.7,5.0,.345,1.0,3.3,.286,0.8,1.7,.462,.440,0.5,0.8,.667,0.7,1.4,2.1,1.1,0.6,0.2,0.7,1.9,5.0,liveris01
291,Chris Livingston,SF,20,MIL,16,0,4.3,0.4,1.0,.438,0.1,0.2,.333,0.4,0.8,.462,.469,0.1,0.1,1.000,0.1,0.8,0.9,0.3,0.1,0.0,0.3,0.7,1.1,livinch01
292,Kenneth Lofton Jr.,PF,21,TOT,17,0,6.4,0.9,2.5,.349,0.2,0.7,.250,0.7,1.8,.387,.384,0.5,0.9,.533,0.1,0.9,1.1,0.8,0.2,0.2,0.5,0.9,2.4,loftoke01
292,Kenneth Lofton Jr.,PF,21,MEM,15,0,6.6,0.9,2.5,.378,0.2,0.7,.300,0.7,1.8,.407,.419,0.5,1.0,.533,0.1,0.9,1.0,0.9,0.2,0.2,0.4,1.0,2.6,loftoke01
292,Kenneth Lofton Jr.,PF,21,PHI,2,0,4.5,0.5,3.0,.167,0.0,1.0,.000,0.5,2.0,.250,.167,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,0.0,1.0,0.0,1.0,loftoke01
293,Kevon Looney,C,27,GSW,61,36,16.9,1.9,3.2,.595,0.0,0.0,.000,1.9,3.2,.598,.595,0.8,1.1,.676,2.0,3.9,5.9,2.0,0.4,0.4,0.7,2.2,4.6,looneke01
294,Brook Lopez,C,35,MIL,60,60,31.2,4.7,9.9,.476,1.8,5.2,.346,2.9,4.7,.619,.567,1.4,1.7,.822,1.5,3.9,5.4,1.7,0.6,2.6,0.9,2.5,12.6,lopezbr01
295,Robin Lopez,C,35,MIL,16,2,4.1,0.4,1.2,.368,0.1,0.5,.250,0.3,0.7,.455,.421,0.1,0.1,1.000,0.2,0.1,0.3,0.3,0.1,0.2,0.1,0.4,1.1,lopezro01
296,Kevin Love,PF,35,MIA,47,5,17.5,2.9,6.5,.443,1.6,4.5,.349,1.3,2.0,.656,.564,1.7,2.2,.779,1.1,5.1,6.2,2.2,0.3,0.2,0.8,1.8,9.0,loveke01
297,Kyle Lowry,PG,37,TOT,43,38,28.2,2.8,6.5,.431,1.7,4.3,.391,1.1,2.3,.505,.559,1.0,1.2,.860,0.7,2.8,3.5,4.2,1.0,0.4,1.4,2.5,8.3,lowryky01
297,Kyle Lowry,PG,37,MIA,37,35,28.0,2.8,6.5,.426,1.7,4.4,.385,1.1,2.2,.506,.554,0.9,1.1,.833,0.7,2.8,3.5,4.0,1.1,0.4,1.4,2.5,8.2,lowryky01
297,Kyle Lowry,PG,37,PHI,6,3,29.2,3.0,6.5,.462,1.7,3.8,.435,1.3,2.7,.500,.590,1.3,1.3,1.000,0.7,2.7,3.3,5.7,1.0,0.2,1.5,2.3,9.0,lowryky01
298,Seth Lundy,SF,23,ATL,9,0,5.8,0.4,1.9,.235,0.3,1.4,.231,0.1,0.4,.250,.324,0.3,0.4,.750,0.1,0.7,0.8,0.0,0.0,0.0,0.1,0.7,1.6,lundyse01
299,Trey Lyles,PF,28,SAC,46,0,20.0,2.5,5.5,.452,1.5,3.8,.386,1.0,1.7,.605,.587,0.8,1.2,.684,1.0,3.5,4.5,1.2,0.3,0.3,0.7,1.6,7.3,lylestr01
300,Théo Maledon,PG,22,TOT,17,1,12.5,1.2,4.1,.286,0.3,1.8,.167,0.9,2.4,.375,.321,0.8,0.9,.933,0.2,1.2,1.4,1.6,0.4,0.0,1.1,1.2,3.5,maledth01
300,Théo Maledon,PG,22,CHO,13,1,15.4,1.5,5.1,.288,0.4,2.3,.167,1.1,2.8,.389,.326,0.8,0.9,.917,0.3,1.5,1.8,2.2,0.5,0.0,1.2,1.4,4.2,maledth01
300,Théo Maledon,PG,22,PHO,4,0,3.3,0.3,1.0,.250,0.0,0.0,,0.3,1.0,.250,.250,0.8,0.8,1.000,0.0,0.3,0.3,0.0,0.0,0.0,0.8,0.8,1.3,maledth01
301,Sandro Mamukelashvili,C,24,SAS,33,0,6.5,0.9,2.2,.437,0.2,1.0,.235,0.7,1.1,.622,.493,0.4,0.5,.706,0.6,1.1,1.7,0.8,0.2,0.2,0.2,0.7,2.5,mamuksa01
302,Terance Mann,SG,27,LAC,55,51,25.2,3.1,6.4,.493,0.9,2.7,.331,2.2,3.6,.615,.564,0.9,1.2,.797,1.3,2.2,3.5,1.8,0.5,0.2,0.6,1.9,8.1,mannte01
303,Tre Mann,PG,22,TOT,24,11,18.9,2.8,6.2,.459,1.0,2.5,.410,1.8,3.6,.494,.544,0.7,0.8,.800,0.4,3.0,3.4,3.0,0.9,0.0,1.1,1.0,7.4,manntr01
303,Tre Mann,PG,22,OKC,13,0,9.2,1.5,3.1,.500,0.6,1.5,.421,0.9,1.6,.571,.600,0.1,0.1,1.000,0.3,1.5,1.8,1.5,0.2,0.0,0.7,0.2,3.8,manntr01
303,Tre Mann,PG,22,CHO,11,11,30.5,4.4,9.8,.444,1.5,3.8,.405,2.8,6.0,.470,.523,1.4,1.7,.789,0.5,4.7,5.2,4.7,1.6,0.0,1.5,2.0,11.6,manntr01
304,Boban Marjanović,C,35,HOU,9,0,5.3,1.1,2.3,.476,0.0,0.2,.000,1.1,2.1,.526,.476,0.3,0.7,.500,0.7,1.8,2.4,0.4,0.0,0.1,0.2,0.4,2.6,marjabo01
305,Lauri Markkanen,PF,26,UTA,51,51,32.9,7.7,16.0,.483,3.2,8.0,.401,4.5,8.0,.565,.583,4.4,4.9,.888,2.3,6.0,8.3,2.0,0.9,0.5,1.3,1.9,23.1,markkla01
306,Naji Marshall,SF,26,NOP,50,1,18.9,2.5,5.5,.449,0.8,2.2,.366,1.7,3.3,.506,.524,1.2,1.6,.785,0.9,2.6,3.6,2.0,0.7,0.2,1.1,1.4,7.0,marshna01
307,Caleb Martin,SF,28,MIA,44,19,27.0,3.9,8.6,.456,1.3,3.3,.393,2.6,5.3,.496,.532,1.3,1.6,.778,1.2,3.5,4.7,2.1,0.7,0.4,1.2,2.1,10.4,martica02
308,Cody Martin,SF,28,CHO,28,22,26.9,2.9,7.7,.381,1.0,3.1,.314,2.0,4.6,.426,.444,0.7,1.2,.606,0.7,3.2,3.9,3.7,1.1,0.6,1.6,1.7,7.5,martico01
309,KJ Martin,SF,23,TOT,45,2,11.6,1.6,2.8,.565,0.1,0.5,.286,1.4,2.3,.621,.589,0.4,0.7,.516,0.5,1.4,1.9,0.8,0.4,0.2,0.5,1.6,3.6,martike04
309,KJ Martin,SF,23,LAC,2,0,15.5,2.0,5.0,.400,0.5,2.5,.200,1.5,2.5,.600,.450,0.5,1.0,.500,0.5,1.0,1.5,0.5,1.0,0.5,1.0,1.5,5.0,martike04
309,KJ Martin,SF,23,PHI,43,2,11.4,1.5,2.7,.579,0.1,0.4,.313,1.4,2.3,.622,.601,0.3,0.7,.517,0.5,1.4,1.9,0.8,0.4,0.1,0.5,1.6,3.5,martike04
310,Garrison Mathews,SG,27,ATL,46,4,12.9,1.1,2.5,.431,1.0,2.3,.425,0.1,0.2,.500,.625,0.3,0.4,.722,0.3,1.1,1.3,0.4,0.2,0.1,0.3,1.6,3.4,mathega01
311,Bennedict Mathurin,SF,21,IND,59,19,26.1,5.0,11.2,.446,1.4,3.6,.374,3.7,7.6,.481,.507,3.1,3.8,.821,1.0,2.9,4.0,2.0,0.6,0.2,1.6,2.0,14.5,mathube01
312,Wesley Matthews,SG,37,ATL,22,1,11.2,0.7,2.2,.313,0.5,1.7,.270,0.2,0.5,.455,.417,0.6,0.9,.700,0.2,1.3,1.5,0.6,0.5,0.3,0.3,1.3,2.5,matthwe02
313,Tyrese Maxey,PG,23,PHI,55,55,37.4,9.0,20.1,.449,3.1,8.1,.378,6.0,12.1,.496,.524,4.9,5.6,.871,0.6,3.2,3.7,6.3,1.0,0.5,1.7,2.2,26.0,maxeyty01
314,Skylar Mays,PG-SG,26,TOT,31,5,13.5,2.0,5.0,.397,0.5,1.7,.296,1.5,3.3,.451,.449,0.4,0.5,.765,0.3,1.0,1.4,2.7,0.5,0.1,0.6,0.8,4.9,mayssk01
314,Skylar Mays,PG,26,POR,21,5,17.0,2.5,6.6,.384,0.7,2.3,.286,1.9,4.2,.438,.435,0.6,0.8,.765,0.4,1.3,1.8,3.6,0.7,0.1,0.9,1.0,6.3,mayssk01
314,Skylar Mays,SG,26,LAL,10,0,6.3,0.9,1.8,.500,0.2,0.5,.400,0.7,1.3,.538,.556,0.0,0.0,,0.1,0.4,0.5,0.8,0.3,0.1,0.1,0.5,2.0,mayssk01
315,Miles McBride,PG,23,NYK,49,5,14.7,2.4,5.5,.433,1.2,3.1,.395,1.2,2.4,.483,.544,0.4,0.6,.815,0.3,0.8,1.1,1.4,0.6,0.1,0.4,1.3,6.4,mcbrimi01
316,CJ McCollum,PG,32,NOP,46,46,31.4,6.8,14.8,.457,3.4,8.0,.422,3.4,6.8,.497,.570,1.8,2.2,.794,0.6,3.7,4.3,4.5,1.0,0.7,1.5,2.1,18.7,mccolcj01
317,T.J. McConnell,PG,31,IND,52,4,17.7,4.0,7.3,.553,0.1,0.4,.304,3.9,6.8,.569,.562,0.7,0.9,.771,0.6,2.1,2.7,5.5,1.0,0.1,1.5,1.1,8.9,mccontj01
318,Jaden McDaniels,SF,23,MIN,52,51,29.0,4.3,8.4,.505,1.2,3.4,.360,3.0,5.0,.604,.578,0.7,1.0,.745,0.8,2.0,2.8,1.3,0.9,0.6,1.3,3.1,10.5,mcdanja02
319,Jalen McDaniels,SF,26,TOR,35,0,8.6,1.0,3.1,.327,0.3,1.5,.204,0.7,1.5,.453,.379,0.4,0.6,.700,0.3,0.9,1.2,0.5,0.3,0.1,0.5,0.9,2.7,mcdanja01
320,Doug McDermott,SF,32,TOT,52,0,14.7,2.0,4.6,.427,1.5,3.7,.415,0.4,0.9,.478,.594,0.2,0.4,.579,0.2,0.8,1.0,1.2,0.2,0.0,0.5,1.0,5.7,mcderdo01
320,Doug McDermott,SF,32,SAS,46,0,15.2,2.1,4.7,.442,1.7,3.8,.439,0.4,0.9,.452,.619,0.2,0.4,.588,0.2,0.9,1.0,1.2,0.2,0.0,0.5,1.0,6.0,mcderdo01
320,Doug McDermott,SF,32,IND,6,0,11.0,1.2,4.0,.292,0.7,3.3,.200,0.5,0.7,.750,.375,0.2,0.3,.500,0.2,0.3,0.5,0.7,0.0,0.0,0.2,0.5,3.2,mcderdo01
321,JaVale McGee,C,36,SAC,39,0,7.9,1.9,3.0,.629,0.0,0.1,.000,1.9,2.9,.652,.629,0.6,1.1,.581,0.9,1.9,2.9,0.4,0.2,0.5,0.8,1.1,4.4,mcgeeja01
322,Bryce McGowens,SG,21,CHO,49,13,15.9,1.8,3.9,.458,0.6,1.8,.345,1.2,2.1,.552,.536,1.0,1.4,.761,0.3,1.5,1.8,0.9,0.4,0.1,0.5,1.4,5.2,mcgowbr01
323,Jordan McLaughlin,PG,27,MIN,37,0,8.9,1.0,2.3,.424,0.6,1.3,.429,0.4,1.0,.417,.547,0.1,0.2,.500,0.3,0.8,1.0,1.7,0.7,0.2,0.4,0.5,2.6,mclaujo01
324,De'Anthony Melton,SG,25,PHI,36,33,27.8,3.8,9.7,.391,2.1,5.8,.362,1.7,3.9,.433,.499,1.8,2.2,.835,0.8,3.1,3.8,3.1,1.6,0.4,1.1,2.3,11.5,meltode01
325,Nathan Mensah,C,25,CHO,25,0,12.3,0.5,1.1,.429,0.0,0.0,,0.5,1.1,.429,.429,0.4,0.5,.750,1.2,1.4,2.6,0.4,0.2,0.6,0.6,2.6,1.3,mensana01
326,Sam Merrill,SG,27,CLE,44,1,16.1,2.6,6.3,.422,2.3,5.5,.421,0.3,0.8,.424,.607,0.3,0.3,.923,0.4,1.6,2.0,1.5,0.3,0.0,0.3,1.1,7.9,merrisa01
327,Chimezie Metu,C,26,PHO,37,5,12.1,1.8,3.5,.508,0.4,1.4,.294,1.4,2.1,.646,.565,1.0,1.2,.884,0.6,2.3,3.0,0.5,0.5,0.2,0.7,1.1,5.0,metuch01
328,Vasilije Micić,PG,30,TOT,41,2,15.1,1.9,4.6,.416,0.5,1.9,.244,1.5,2.7,.536,.466,0.7,0.9,.789,0.2,0.9,1.1,3.4,0.4,0.1,1.3,0.9,5.0,micicva01
328,Vasilije Micić,PG,30,OKC,30,0,12.0,1.2,3.0,.407,0.4,1.5,.244,0.9,1.5,.565,.467,0.5,0.6,.737,0.0,0.8,0.8,2.5,0.3,0.1,1.0,0.7,3.3,micicva01
328,Vasilije Micić,PG,30,CHO,11,2,23.5,3.8,9.0,.424,0.7,3.0,.242,3.1,6.0,.515,.465,1.5,1.7,.842,0.5,1.3,1.8,5.7,0.7,0.0,2.1,1.4,9.8,micicva01
329,Khris Middleton,SF,32,MIL,43,43,26.3,5.6,11.6,.487,1.7,4.5,.378,3.9,7.1,.556,.560,1.8,2.2,.832,0.6,3.7,4.3,5.0,0.9,0.3,2.1,2.4,14.8,middlkh01
330,Brandon Miller,SF,21,CHO,55,49,32.0,6.3,14.3,.440,2.4,6.2,.380,3.9,8.1,.487,.523,1.8,2.1,.829,0.9,3.3,4.2,2.4,0.9,0.5,1.8,2.5,16.7,millebr02
331,Jordan Miller,SF,24,LAC,5,0,4.2,0.8,1.2,.667,0.2,0.2,1.000,0.6,1.0,.600,.750,0.4,0.4,1.000,0.4,0.4,0.8,0.0,0.0,0.0,0.2,0.4,2.2,millejo02
332,Leonard Miller,SF,20,MIN,7,0,3.7,1.0,1.6,.636,0.1,0.4,.333,0.9,1.1,.750,.682,0.0,0.0,,0.1,1.3,1.4,0.4,0.1,0.1,0.1,0.4,2.1,millele01
333,Dariq Whitehead,SF,19,BRK,2,0,12.0,0.5,2.5,.200,0.0,1.5,.000,0.5,1.0,.500,.200,0.5,1.0,.500,0.0,2.0,2.0,1.5,0.0,0.5,0.0,0.0,1.5,whiteda01
334,Patty Mills,PG,35,ATL,19,0,10.6,1.0,2.7,.373,0.7,1.8,.382,0.3,0.9,.353,.500,0.0,0.0,,0.3,0.8,1.1,0.7,0.5,0.1,0.4,0.9,2.7,millspa02
335,Shake Milton,SG,27,TOT,42,0,13.2,1.8,4.4,.403,0.4,1.5,.274,1.4,3.0,.468,.449,0.9,1.1,.809,0.3,1.3,1.6,1.3,0.4,0.1,0.7,1.1,4.9,miltosh01
335,Shake Milton,SG,27,MIN,38,0,12.9,1.7,4.2,.400,0.4,1.4,.264,1.3,2.8,.467,.444,0.9,1.2,.818,0.2,1.2,1.3,1.3,0.4,0.1,0.7,1.2,4.7,miltosh01
335,Shake Milton,SG,27,DET,4,0,15.8,2.8,6.5,.423,0.8,2.3,.333,2.0,4.3,.471,.481,0.5,0.8,.667,1.8,2.8,4.5,1.5,0.5,0.3,0.8,0.8,6.8,miltosh01
336,Justin Minaya,SF,24,POR,20,0,8.1,0.4,1.4,.250,0.2,1.0,.211,0.2,0.5,.333,.321,0.2,0.3,.500,0.5,0.6,1.1,0.4,0.3,0.3,0.3,0.6,1.1,minayju01
337,Josh Minott,SF,21,MIN,21,0,3.0,0.5,1.0,.476,0.0,0.3,.167,0.4,0.7,.600,.500,0.6,0.7,.857,0.1,0.4,0.6,0.1,0.1,0.1,0.1,0.3,1.6,minotjo01
338,Davion Mitchell,PG,25,SAC,51,4,13.5,1.6,3.7,.449,0.6,1.8,.340,1.0,1.8,.559,.535,0.4,0.5,.741,0.2,0.9,1.1,1.7,0.2,0.1,0.6,1.3,4.3,mitchda01
339,Donovan Mitchell,SG,27,CLE,47,47,35.7,9.7,20.4,.472,3.4,9.1,.371,6.3,11.3,.553,.555,5.3,6.1,.861,0.9,4.5,5.4,6.2,1.8,0.5,2.9,2.3,28.0,mitchdo01
340,Evan Mobley,PF,22,CLE,38,38,31.1,6.5,11.2,.578,0.3,0.9,.314,6.2,10.3,.602,.591,2.3,3.3,.704,2.4,7.8,10.2,3.1,0.9,1.6,1.9,2.8,15.6,mobleev01
341,Isaiah Mobley,PF,24,CLE,3,0,4.7,0.7,1.3,.500,0.3,0.7,.500,0.3,0.7,.500,.625,0.0,0.0,,0.0,0.7,0.7,1.3,0.3,0.0,0.3,0.7,1.7,mobleis01
342,Malik Monk,SG,25,SAC,60,0,26.1,5.5,12.3,.451,2.2,6.0,.375,3.3,6.3,.522,.542,2.3,2.8,.808,0.4,2.5,2.9,5.3,0.6,0.6,2.1,2.1,15.6,monkma01
343,Moses Moody,SG,21,GSW,47,8,17.6,3.0,6.5,.467,1.1,3.0,.350,2.0,3.4,.571,.549,1.0,1.3,.778,1.0,2.0,3.0,0.8,0.7,0.4,0.7,1.2,8.1,moodymo01
344,Xavier Moon,SG,29,LAC,2,0,6.0,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.0,0.0,,0.0,1.0,1.0,1.5,0.0,0.0,0.5,0.5,1.0,moonxa01
345,Taze Moore,SG,25,POR,3,0,3.3,1.0,1.7,.600,0.0,0.7,.000,1.0,1.0,1.000,.600,0.0,0.0,,0.0,0.0,0.0,0.3,0.3,0.0,0.3,0.7,2.0,mooreta02
346,Wendell Moore Jr.,SG,22,MIN,14,0,3.1,0.4,0.7,.500,0.0,0.3,.000,0.4,0.4,.833,.500,0.0,0.0,,0.0,0.4,0.4,0.1,0.4,0.1,0.2,0.3,0.7,moorewe01
347,Ja Morant,PG,24,MEM,9,9,35.3,8.9,18.9,.471,1.6,5.7,.275,7.3,13.2,.555,.512,5.8,7.1,.813,0.7,4.9,5.6,8.1,0.8,0.6,3.0,2.1,25.1,moranja01
348,Marcus Morris,PF,34,PHI,37,7,17.2,2.4,5.5,.439,1.0,2.4,.400,1.5,3.1,.470,.527,0.8,1.0,.861,0.5,2.5,2.9,0.7,0.4,0.3,0.5,1.6,6.7,morrima03
349,Markieff Morris,PF,34,DAL,18,1,8.9,0.9,2.7,.327,0.6,1.7,.333,0.3,1.1,.316,.429,0.2,0.2,.750,0.2,1.4,1.7,0.6,0.3,0.1,0.5,0.6,2.5,morrima02
350,Monte Morris,PG,28,TOT,16,0,14.7,2.1,5.6,.371,0.7,2.3,.306,1.4,3.3,.415,.433,0.4,0.6,.667,0.3,1.4,1.8,2.4,0.5,0.2,0.3,0.4,5.2,morrimo01
350,Monte Morris,PG,28,DET,6,0,11.3,2.0,5.5,.364,0.3,1.8,.182,1.7,3.7,.455,.394,0.2,0.3,.500,0.3,1.7,2.0,1.3,0.2,0.2,0.3,0.2,4.5,morrimo01
350,Monte Morris,PG,28,MIN,10,0,16.7,2.1,5.6,.375,0.9,2.5,.360,1.2,3.1,.387,.455,0.5,0.7,.714,0.3,1.3,1.6,3.0,0.7,0.2,0.2,0.5,5.6,morrimo01
351,Trey Murphy III,SF,23,NOP,37,10,27.0,4.6,10.4,.439,2.8,7.5,.376,1.7,2.9,.604,.575,1.7,2.3,.753,0.6,3.5,4.2,1.8,0.9,0.5,0.4,1.2,13.7,murphtr02
352,Dejounte Murray,SG,27,ATL,59,59,35.1,8.2,17.8,.462,2.2,6.3,.353,6.0,11.5,.522,.525,2.8,3.5,.809,0.7,4.6,5.3,5.7,1.3,0.3,2.3,1.7,21.5,murrade01
353,Jamal Murray,PG,26,DEN,46,46,31.6,7.9,16.5,.479,2.4,5.7,.417,5.5,10.8,.512,.551,2.5,3.0,.854,0.7,3.3,4.0,6.5,0.8,0.7,2.1,1.8,20.8,murraja01
354,Keegan Murray,SF,23,SAC,57,57,32.9,5.7,12.2,.465,2.2,6.1,.360,3.5,6.1,.571,.555,1.4,1.6,.828,1.3,4.0,5.2,1.7,1.1,0.7,0.9,2.7,14.9,murrake02
355,Kris Murray,SF,23,POR,41,8,16.2,1.7,4.2,.405,0.6,2.0,.274,1.1,2.2,.528,.471,0.4,0.7,.621,0.9,1.6,2.5,0.9,0.9,0.2,0.6,1.2,4.4,murrakr01
356,Mike Muscala,C,32,TOT,38,6,13.7,1.3,3.7,.360,0.7,2.3,.318,0.6,1.3,.431,.460,0.4,0.6,.708,0.8,2.0,2.8,0.8,0.2,0.3,0.5,1.2,3.8,muscami01
356,Mike Muscala,C,32,WAS,24,2,14.1,1.4,3.8,.367,0.6,2.1,.275,0.8,1.6,.487,.444,0.6,0.8,.750,0.9,2.2,3.1,0.9,0.2,0.3,0.7,1.3,4.0,muscami01
356,Mike Muscala,C,32,DET,13,4,13.2,1.2,3.4,.341,1.0,2.6,.382,0.2,0.8,.200,.489,0.2,0.3,.500,0.8,1.5,2.2,0.8,0.2,0.4,0.2,1.0,3.5,muscami01
356,Mike Muscala,C,32,OKC,1,0,11.0,2.0,5.0,.400,1.0,3.0,.333,1.0,2.0,.500,.500,0.0,0.0,,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,5.0,muscami01
357,Svi Mykhailiuk,SF,26,BOS,26,0,7.9,1.0,2.8,.351,0.7,2.3,.322,0.3,0.6,.467,.480,0.1,0.2,.500,0.3,0.7,1.0,0.5,0.3,0.0,0.3,0.5,2.8,mykhasv01
358,Larry Nance Jr.,C,31,NOP,44,0,18.4,2.1,3.6,.589,0.5,1.1,.426,1.7,2.5,.658,.652,0.6,0.9,.718,1.5,3.7,5.2,1.6,0.9,0.4,0.9,1.5,5.3,nancela02
359,Pete Nance,PF,23,CLE,2,0,2.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nancepe01
360,Andrew Nembhard,PG,24,IND,49,28,23.6,3.9,7.8,.493,0.8,2.3,.360,3.0,5.5,.550,.547,0.6,0.8,.789,0.6,1.3,1.9,4.3,1.0,0.1,1.6,1.9,9.2,nembhan01
361,Aaron Nesmith,SF,24,IND,54,29,26.9,4.4,8.7,.513,2.1,4.6,.448,2.4,4.1,.586,.631,1.3,1.9,.706,0.9,2.9,3.8,1.5,1.0,0.6,1.0,3.3,12.3,nesmiaa01
362,Georges Niang,PF,30,CLE,62,2,21.4,3.2,7.4,.433,1.7,4.6,.361,1.5,2.8,.552,.546,0.6,0.7,.822,0.3,3.2,3.5,1.2,0.3,0.2,0.8,2.3,8.6,niangge01
363,Daishen Nix,PG,21,MIN,10,0,3.5,0.8,1.9,.421,0.5,1.3,.385,0.3,0.6,.500,.553,0.1,0.4,.250,0.0,0.1,0.1,0.2,0.2,0.0,0.1,0.1,2.2,nixda01
364,Zeke Nnaji,PF,23,DEN,47,0,9.8,1.2,2.7,.430,0.1,0.4,.238,1.1,2.3,.467,.449,0.8,1.2,.709,1.2,1.0,2.2,0.6,0.3,0.7,0.6,1.4,3.3,nnajize01
